city,date,temp_max (°C),temp_min (°C),pression (hPa),vitesse de vent (m/s),humidity (%),rain_probability (%)
Agadir,2025-02-17 15:00:00,19.01,16.52,1015,3.38,56,0.0
Agadir,2025-02-17 18:00:00,17.61,16.29,1014,1.21,59,0.0
Agadir,2025-02-17 21:00:00,14.01,14.01,1015,1.63,78,0.0
Agadir,2025-02-18 00:00:00,14.35,14.35,1014,3.47,68,0.0
Agadir,2025-02-18 03:00:00,12.82,12.82,1012,2.38,73,0.0
Agadir,2025-02-18 06:00:00,12.94,12.94,1013,1.03,70,0.0
Agadir,2025-02-18 09:00:00,15.37,15.37,1015,1.68,76,0.0
Agadir,2025-02-18 12:00:00,16.65,16.65,1015,3.35,72,0.0
Agadir,2025-02-18 15:00:00,15.63,15.63,1013,3.65,75,0.0
Agadir,2025-02-18 18:00:00,15.48,15.48,1014,3.93,81,100.0
Agadir,2025-02-18 21:00:00,14.25,14.25,1015,3.63,81,100.0
Agadir,2025-02-19 00:00:00,13.56,13.56,1016,5.16,80,71.0
Agadir,2025-02-19 03:00:00,12.66,12.66,1015,4.99,81,0.0
Agadir,2025-02-19 06:00:00,11.98,11.98,1015,4.52,78,0.0
Agadir,2025-02-19 09:00:00,13.98,13.98,1017,1.47,66,0.0
Agadir,2025-02-19 12:00:00,18.04,18.04,1017,2.37,52,0.0
Agadir,2025-02-19 15:00:00,18.71,18.71,1015,5.15,54,0.0
Agadir,2025-02-19 18:00:00,18.81,18.81,1016,2.14,53,0.0
Agadir,2025-02-19 21:00:00,14.79,14.79,1019,4.21,77,0.0
Agadir,2025-02-20 00:00:00,13.33,13.33,1020,1.97,82,0.0
Agadir,2025-02-20 03:00:00,12.99,12.99,1020,0.83,83,0.0
Agadir,2025-02-20 06:00:00,12.82,12.82,1021,1.13,76,0.0
Agadir,2025-02-20 09:00:00,16.04,16.04,1022,0.64,60,0.0
Agadir,2025-02-20 12:00:00,18.33,18.33,1023,2.03,55,0.0
Agadir,2025-02-20 15:00:00,18.54,18.54,1021,5.05,57,0.0
Agadir,2025-02-20 18:00:00,19.22,19.22,1021,4.29,53,0.0
Agadir,2025-02-20 21:00:00,16.52,16.52,1022,0.96,66,0.0
Agadir,2025-02-21 00:00:00,15.66,15.66,1022,3.85,67,0.0
Agadir,2025-02-21 03:00:00,16.05,16.05,1022,3.96,57,0.0
Agadir,2025-02-21 06:00:00,16.59,16.59,1022,2.78,50,0.0
Agadir,2025-02-21 09:00:00,19.22,19.22,1024,1.19,45,0.0
Agadir,2025-02-21 12:00:00,20.38,20.38,1024,1.67,47,0.0
Agadir,2025-02-21 15:00:00,20.14,20.14,1022,4.1,47,0.0
Agadir,2025-02-21 18:00:00,20.02,20.02,1022,3.88,46,0.0
Agadir,2025-02-21 21:00:00,17.26,17.26,1024,1.31,55,0.0
Agadir,2025-02-22 00:00:00,15.77,15.77,1024,0.77,61,0.0
Agadir,2025-02-22 03:00:00,15.26,15.26,1024,1.6,60,0.0
Agadir,2025-02-22 06:00:00,14.14,14.14,1024,2.29,64,0.0
Agadir,2025-02-22 09:00:00,17.66,17.66,1026,0.62,47,0.0
Agadir,2025-02-22 12:00:00,19.46,19.46,1025,3.48,47,0.0
Casablanca,2025-02-17 15:00:00,19.01,18.29,1015,4.15,62,0.0
Casablanca,2025-02-17 18:00:00,16.2,15.33,1014,1.68,73,0.0
Casablanca,2025-02-17 21:00:00,13.58,13.58,1014,1.51,84,0.0
Casablanca,2025-02-18 00:00:00,12.49,12.49,1012,2.48,86,0.0
Casablanca,2025-02-18 03:00:00,12.51,12.51,1011,3.1,77,0.0
Casablanca,2025-02-18 06:00:00,12.6,12.6,1011,3.74,76,0.0
